"PlantID" "Year" "Electricity" "SO2" "NOX" "CapStock" "Employees" "HC_Coal" "HC_Oil" "HC_Gas" "Phase1"
"438" 3946 1989 3.32494794520548 35.4283835616438 22.2330410958904 472886580.297792 73 10364.2230288493 13.7893851123288 0 0
"439" 3947 1989 13.054197260274 408.598931506849 86.3253698630137 994395944.87976 242 36871.2006133479 18.2893851945863 0 0
"440" 3948 1989 18.3666219178082 178.193479452055 84.3356438356164 1871900335.12152 256 53342.857914526 419.910834746564 0 0
"441" 4054 1989 3.2113397260274 30.3152876712329 25.1975342465753 287333226.296016 63 9503.70511374247 0 0 0
"442" 4072 1989 3.39996712328767 69.9819726027397 19.2884931506849 691755527.95704 164 11073.3885155014 12.5652357369863 221.931232010959 0
"443" 4158 1989 14.9076904109589 50.9068767123288 101.936356164384 1229239712.76624 251 48996.6648223397 88.3991717273096 0 0
"444" 4162 1989 12.879695890411 71.139397260274 52.607095890411 1008592221.41832 208 39355.2184144603 24.7257939945206 68.2491780821918 0
"445" 6002 1989 21.8806109589041 100.370684931507 70.2818904109589 3153892216.79352 447 66398.5794575836 32.754119690811 825.543583652055 0
"446" 6004 1989 20.9508 115.71402739726 81.3196164383562 2296946062.18224 248 62800.2175005205 250.586412213699 0 0
"447" 6016 1989 5.14832328767123 23.440904109589 19.3570684931507 889718835.15144 131 15518.6675308767 27.8691263161644 0 0
"448" 6017 1989 11.9123506849315 59.6046575342466 27.566301369863 1926427261.73784 244 35008.2598073753 125.15094511126 0 0
"449" 6095 1989 12.5573561643836 54.7890410958904 54.2338082191781 1252751960.01336 219 38249.870142526 54.1431893685699 0 0
"450" 6139 1989 23.189295890411 85.2902739726027 127.682465753425 1206990865.14048 131 71750.0310735452 126.057034849315 0 0
"451" 6146 1989 41.8398164383562 155.381068493151 125.478465753425 2520155546.07936 634 140601.740199518 275.504428010959 0 0
"452" 6147 1989 34.6910602739726 212.658109589041 150.174712328767 1812512785.46616 471 115438.997141836 414.187400219178 0 0
"453" 6155 1989 15.9095726027397 161.119616438356 56.0431232876712 1375749956.47608 241 45895.7863800164 43.428638169863 0 0
"454" 6178 1989 9.88705479452055 35.8594246575342 33.3661095890411 733097216.06808 112 28139.5176763397 39.4976011344658 0 0
"455" 6193 1989 18.9634520547945 75.3012054794521 80.7922739726027 1081484174.68728 148 55389.2915336548 0 378.839625320548 0
"456" 6248 1989 7.61376164383562 25.8779452054795 53.4630136986301 1121803905.82968 113 23774.2443621699 120.621676730301 0 0
"457" 6264 1989 21.0010931506849 106.943315068493 61.8957808219178 1754097745.57992 251 57783.7720336438 144.273793925589 0 0
"458" 8042 1989 31.6526849315068 201.412273972603 126.713315068493 1560901207.53624 180 84498.1887393863 119.628284570679 0 0
"459" 8102 1989 35.8012164383562 997.038493150685 175.280876712329 2715444462.39072 370 104696.628702247 256.265062433359 0 0
"460" 8226 1989 9.5325698630137 115.034246575342 28.8424931506849 976362050.66232 163 27602.4085282192 0 121.500880306849 0
"461" 3 1990 20.1468876712329 142.495342465753 62.3164109589041 2039349089.79 411 57282.1636991671 16.3799583478521 562.05085039726 1
"462" 8 1990 22.1710356164384 302.75304109589 71.6641369863014 1904817707.41968 482 63733.1641733753 120.315642758778 0 1
"463" 470 1990 10.215898630137 35.5115342465753 47.9468493150685 936526754.83584 111 31347.9958457918 50.6246670664767 9.87774369041096 1
"464" 602 1990 10.8044328767123 58.936 32.6269863013699 1350016654.83744 124 31497.4636334137 173.407766682279 0 1
"465" 641 1990 10.9304164383562 263.023917808219 51.0253150684932 1507209117.23568 241 34144.9465665205 37.8845567013699 835.610819178082 1
"466" 708 1990 13.0521506849315 167.466575342466 58.3947945205479 1035687352.39272 287 39767.6841689425 55.3801130630137 0 1
"467" 709 1990 27.9522739726027 266.462465753425 119.888602739726 1683904175.89608 432 79247.9326688548 42.8148773260274 0 1
"468" 728 1990 16.9312246575342 279.665863013699 54.1699178082192 1596220819.1676 414 50986.9227838685 74.5314747780822 0 1
"469" 856 1990 8.9364 64.2867397260274 38.1610684931507 1039993455.69528 167 26191.5883368164 46.2726406768932 0 1
"470" 861 1990 8.89921643835616 305.161369863014 75.5584657534247 1224525058.53168 281 28391.1096799726 52.1827394363014 0 1
"471" 862 1990 0.932717260273973 28.2164657534247 5.46939726027397 500629018.519104 107 3363.45197958904 28.8920093471014 0 1
"472" 863 1990 1.5225098630137 36.7755890410959 5.52334246575342 388663057.863312 93 4854.50654709041 27.7444182062466 0 1
"473" 864 1990 2.33416191780822 56.6906301369863 8.87202739726027 742660355.9436 148 7706.63552390137 150.211505178345 0 1
"474" 876 1990 13.0581616438356 470.272767123288 118.097561643836 1512952961.39424 294 43099.7424901315 0 54.3523607342466 1
"475" 879 1990 10.6120465753425 49.1378356164384 59.2059452054794 3031667938.07496 360 38786.6064092548 0 135.213665753425 1
"476" 887 1990 19.7442109589041 326.220739726027 66.6712602739726 2022948503.5536 358 59813.9204353644 32.8650114371178 0 1
"477" 889 1990 22.5086482191781 615.38301369863 151.974191780822 1930973984.33544 258 67332.9372022685 98.2017350136986 0 1
"478" 983 1990 26.1217095890411 736.491232876712 176.587671232877 1893971121.34176 381 75898.2178838301 22.2768477598685 0 1
"479" 988 1990 14.8764904109589 225.32802739726 89.376 1863332067.6612 335 42324.7245759452 118.25129188366 0 1
"480" 991 1990 2.0125397260274 34.2377534246575 7.58786301369863 664536897.55896 102 6626.56963808219 89.1192885573699 0 1
"481" 994 1990 25.1475287671233 313.470931506849 72.2268219178082 3076455620.09568 328 76214.620431074 121.223904265973 0 1
"482" 1004 1990 0.261268547945205 9.22312328767123 2.10002739726027 368499629.17296 70 1174.54009160548 18.4802715616438 0 1
"483" 1008 1990 5.61615205479452 124.018109589041 30.1545753424658 830789191.3608 157 17583.3954626301 189.88479029589 0 1
"484" 1012 1990 5.28766246575342 136.662164383562 28.6194794520548 607008338.68896 86 16925.3633843014 8.43752544657534 17.1184997260274 1
"485" 1047 1990 3.14309123287671 14.634301369863 15.9806301369863 522591508.671336 54 10259.6762078959 22.6619388493151 0 1
"486" 1250 1990 5.78619178082192 12.6906301369863 23.466602739726 659663408.61432 132 19324.2624163726 0 287.168051958904 1
"487" 1355 1990 9.02315890410959 147.098082191781 31.3029863013699 723039042.39384 154 27876.2268000658 46.2681251506849 0 1
"488" 1356 1990 23.9425342465753 269.059780821918 77.3488219178082 2169287289.69888 233 72141.1361199781 126.057034849315 0 1
"489" 1357 1990 2.16458630136986 46.5158630136986 11.9495890410959 403687191.421728 109 7330.67858327671 11.3309694246575 0 1
"490" 1364 1990 21.5368164383562 563.457397260274 73.5878904109589 1932942032.26488 400 65064.0258759452 148.670324720975 86.7447053424658 1
"491" 1570 1990 1.33874520547945 10.5413424657534 4.25857534246575 343921922.056896 66 4158.98511494795 30.4317464547945 0 1
"492" 1606 1990 3.08819726027397 29.2885205479452 12.6604657534247 214602450.182808 67 8771.99314979178 20.11280796 0 1
"493" 1695 1990 4.89291232876712 28.405698630137 16.8498904109589 808850394.8376 160 14273.9618242685 15.9375480657534 0 1
"494" 1745 1990 8.29186575342466 51.9357534246575 27.3041643835616 1993836974.25768 359 25194.6009710795 145.39289577189 0 1
"495" 1943 1990 0.763677808219178 3.29742465753425 4.51427397260274 243325300.672584 44 2645.69046881096 13.6915880547945 0 1
"496" 2080 1990 5.53766356164384 23.5434520547945 27.9311780821918 618653973.94008 163 18235.6496458356 28.589708525326 0 1
"497" 2103 1990 31.6651945205479 667.029178082192 106.232273972603 2999517212.40096 472 92285.4848354301 252.255706816438 0 1
"498" 2107 1990 11.765597260274 225.897315068493 91.5603561643836 1152832594.08672 247 35817.9446105425 34.1885023890411 0 1
"499" 2526 1990 2.31386383561644 37.2767397260274 8.90361643835617 460676597.736792 83 7532.24265468493 23.597684701989 0 1
"500" 2527 1990 2.65122767123288 45.014602739726 9.69778082191781 495596058.174336 88 8209.47764293151 44.514522739726 0 1
"501" 2535 1990 6.33887808219178 88.7598082191781 18.2297260273973 515834533.492008 87 17462.9205682027 5.59191434656438 0 1
"502" 2549 1990 13.1422739726027 166.778821917808 60.5094520547945 2116010746.02504 310 40243.5622421096 0 0 1
"503" 2554 1990 10.6329671232877 171.038 29.9321917808219 1203814432.05696 208 30638.7280656658 0 0 1
"504" 2642 1990 3.98789863013699 64.6202739726027 11.8603835616438 517356673.37112 143 12232.7866035781 34.9034326027397 0 1
"505" 2706 1990 6.06954794520548 51.162602739726 25.1687397260274 404455621.684296 76 17709.9506361863 45.6815114210959 0 1
"506" 2718 1990 7.28846849315069 57.9195616438356 22.2179726027397 1261676061.528 160 21760.8740172164 178.731130308855 0 1
"507" 2721 1990 5.4413095890411 43.1404383561644 16.5540547945205 866140046.56752 146 16285.1204140932 36.8813713467452 0 1
"508" 2727 1990 26.2552109589041 183.202849315068 71.1785479452055 1661769056.81928 184 70607.8465522849 147.893212440247 0 1
"509" 2790 1990 1.23648520547945 7.05095890410959 2.32490410958904 213705018.38136 51 4748.57515104658 0 0.167009753424658 1
"510" 2850 1990 42.0209397260274 482.116575342466 196.976904109589 2724828574.14864 536 121813.451907288 76.1040211124219 0 1
"511" 2864 1990 7.47934794520548 198.632876712329 38.6590410958904 1186221869.93184 263 24247.751218011 7.88900535705205 0 1
"512" 2872 1990 18.9644876712329 642.998630136986 113.079726027397 2099332250.12808 383 54265.893040274 173.782791419425 0 1
"513" 2876 1990 22.4330191780822 665.815753424657 143.563835616438 1627453701.50376 334 64699.107798263 13.8917685146301 0 1
"514" 3098 1990 4.51493808219178 10.7898904109589 22.6209315068493 1240935832.82232 226 14716.4682975616 40.6481936332932 0 1
"515" 3130 1990 3.2368602739726 42.7731232876712 12.3596712328767 611855946.91488 93 10503.7392833753 103.576391510795 0 1
"516" 3131 1990 10.2234082191781 152.823835616438 37.9234794520548 1118250301.36368 133 29987.2257475233 243.757378578575 0 1
"517" 3138 1990 4.23877260273973 58.3290684931507 22.2130136986301 786009647.88456 170 14336.2156733753 57.7977203991945 0 1
"518" 3140 1990 23.3199534246575 342.122712328767 69.3113698630137 1699507514.53272 216 66585.4246703671 295.216268035068 0 1
"519" 3149 1990 29.5811917808219 380.885671232877 83.5507123287671 1678777644.98472 194 80555.5507889918 190.871512021726 0 1
"520" 3178 1990 6.05227945205479 84.7315068493151 27.5440273972603 512073448.592256 82 18022.584222937 16.3472840136986 0 1
"521" 3297 1990 11.7912438356164 99.2454520547945 50.4192328767123 737364758.85312 93 34061.7020002027 203.472126687353 0 1
"522" 3497 1990 17.3065780821918 151.446739726027 50.5992054794521 1046194896.9132 230 56564.5860597041 0 1017.94138897808 1
"523" 3644 1990 3.45640273972603 17.2450136986301 11.9681095890411 320496740.598984 97 11226.9958968 10.3867219726027 0 1
"524" 3775 1990 12.0645616438356 67.4786301369863 49.3406301369863 919095732.87216 180 32985.9293891507 21.7037873535288 0 1
"525" 3776 1990 3.62095068493151 21.5441917808219 14.7411232876712 736961054.99448 133 10344.9807752877 74.4033134203397 0 1
"526" 3788 1990 6.10383835616438 36.5336438356164 18.696301369863 1065757677.54216 197 18775.5838281699 116.266240932953 0 1
"527" 3796 1990 1.70675342465753 11.1443835616438 7.52950684931507 539942369.296584 131 5055.66915274521 25.0225574794521 0 1
"528" 3936 1990 3.44334520547945 19.9024657534247 14.7156712328767 773250410.61 143 9864.52101435617 29.741825309326 0 1
"529" 3945 1990 0.970865753424658 9.00038356164383 5.36909589041096 437175216.957984 82 3503.32569922192 16.1668653041096 0 1
"530" 3946 1990 2.01212876712329 22.3095068493151 13.1274246575342 475625211.804264 73 6174.4345707452 14.7403771890411 0 1
"531" 3947 1990 12.9167753424658 414.766164383562 84.5844383561644 996767378.10312 245 36269.2142783014 16.5208265784493 0 1
"532" 3948 1990 15.8455095890411 162.508739726027 72.4047123287671 1882118462.68032 257 46030.2454507397 257.787486089556 0 1
"533" 4054 1990 2.59682191780822 17.246301369863 22.4861643835616 289898477.413824 63 7932.85184077808 3.13962277808219 0 1
"534" 4072 1990 3.71091780821918 68.4460547945205 20.4291506849315 697055129.0844 147 12007.0494762247 0 252.024783715069 1
"535" 4158 1990 15.8254082191781 52.3172876712329 95.3186849315069 1237630699.97832 251 51640.5361695288 64.6674612164384 0 1
"536" 4162 1990 12.8018821917808 66.3458630136986 51.8532602739726 1019259464.55096 208 38872.4868391233 17.4685778630137 56.8708356986301 1
"537" 6002 1990 30.3886876712329 123.661726027397 89.854904109589 3146184682.96632 441 83495.5787654795 56.3146718617479 1585.04460558904 1
"538" 6004 1990 19.5124301369863 112.293643835616 76.574602739726 2303491280.31168 246 59255.8160736164 252.963892405479 0 1
"539" 6016 1990 5.50838356164384 23.9017808219178 20.6158082191781 891652191.67488 130 16619.6560453151 24.612187536789 0 1
"540" 6017 1990 12.8994493150685 64.9351232876712 30.8234246575342 1928696958.10992 240 39196.3068676274 121.380554918268 0 1
"541" 6095 1990 15.6744246575342 68.3581643835616 66.8575068493151 1256043574.13448 219 46912.3816543233 43.8746534538411 0 1
"542" 6139 1990 20.3004383561644 75.6398082191781 101.169506849315 1205660553.60816 131 64594.9102525151 133.611014465753 0 1
"543" 6146 1990 42.8072219178082 170.93695890411 124.645260273973 2516694060.9024 618 139097.745748438 309.477102410959 0 1
"544" 6147 1990 35.5159178082192 194.673342465753 130.651835616438 1819353871.58256 458 117283.876967079 400.226027178082 0 1
"545" 6155 1990 15.2556493150685 133.711671232877 55.3969589041096 1376329719.66384 234 43686.868008263 40.1945906465753 0 1
"546" 6178 1990 11.4481260273973 41.2314246575342 39.6285479452055 731219738.42184 110 32605.3559135343 27.4287495384 0 1
